Temporal_Window	Mean_Distance
135	4.075687983751521
180	3.6021110326493244
225	3.487623141810257
270	3.198911535307971
315	2.914291390603371
360	2.5091570796267235
405	2.1542952601299055
450	2.0143515964890650
495	1.9288222797804382
540	1.8334861435445882
585	1.7803735589133283
630	1.6574661211468917
675	1.5629353335604792
720	1.4678225217972296
765	1.4383330480215788
810	1.38230410896928
855	1.3225268645281458
900	1.2695079175491155
945	1.2406344341090485
990	1.2253827177208956
1035	1.2170857385452087
1080	1.1888902784688318
1125	1.1681777723002411
1170	1.129769116934153
1215	1.1044439440773128
1260	1.0965228555339863
1305	1.081883427144766
1350	1.065070323466824
1395	1.0533452367614216
1440	1.0517723976914017
1485	1.038939163321707
1530	1.0292867900092748
1575	1.0132989898459173
