Temporal_Window	Mean_Distance
315	7.254666645341708
360	9.511574959132778
405	7.069907107804178
450	6.426883774149552
495	6.4440633474340405
540	5.415696587158252
585	5.434020661637093
630	5.075510603815229
675	4.70824450632116
720	4.560931735608126
765	4.292179895306294
810	4.201177321682485
855	4.073165555758757
900	4.13827835421756
945	4.2269090488879195
990	4.208952021989778
1035	4.175048364747192
1080	4.168722921698072
1125	3.942102889145677
1170	3.942188179537665
1215	3.7385908003620383
1260	3.5810335836136034
1305	3.3751379188659043
1350	3.2139227267632693
1395	3.125193975712246
1440	3.0972778814016806
1485	3.0048919866847026
1530	2.968381930905723
1575	2.935904767822793
315	2.914291390603371
